Amount,Term,EmploymentType,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,DebtRatio,AccountAgeRatio
7000,36,Employed - full time,Other,0,227,12,14,11,0,3,0,3,71.36,9292,9292,7,1.3274285712389386,0.05286343589046945
1000,60,Employed - full time,Other,0,49,10,7,6,1,3,1,1,29.33,4592,4592,7,4.591999995408,0.20408162848813005
2000,24,Employed - part time,Consolidation,0,134,0,12,11,0,3,5,1,32.33,2737,2737,7,1.3684999993157498,0.0
4000,48,Employed - full time,Other,0,227,2,39,12,0,2,2,27,41.56,9229,9229,7,2.3072499994231874,0.008810572648411574
7000,60,Employed - full time,Other,0,132,2,99,11,8,0,9,88,43.34,15443,15443,0,2.206142856827694,0.015151515036730947
2000,12,Employed - full time,Other,0,16,1,14,10,4,0,11,4,7.0,1010,1010,0,0.5049999997475,0.06249999609375024
5000,30,Retired,Other,0,127,13,16,12,0,1,0,4,46.94,5833,5833,7,1.1665999997666798,0.10236220391840785
15000,36,Employed - full time,Other,0,178,27,11,8,0,0,0,3,72.55,18040,18040,0,1.202666666586489,0.15168539240626183
1000,36,Employed - full time,Consolidation,0,104,4,15,12,2,0,6,3,25.6,11606,11606,2,11.605999988394,0.03846153809171598
5000,24,Employed - full time,debt consolidation,0,141,13,6,4,1,3,0,2,64.5,2803,2803,7,0.56059999988788,0.09219858090639305
5000,36,Employed - full time,car,0,129,2,38,19,4,9,8,19,56.45,5801,5801,7,1.16019999976796,0.015503875848807164
6500,48,Employed - full time,Other,0,79,2,5,5,0,0,3,0,26.0,2933,2933,0,0.4512307691613491,0.025316455375741072
5000,36,Employed - full time,Home Improvments,1,148,1,11,7,1,0,2,4,57.91,9726,9726,0,1.94519999961096,0.006756756711102995
20000,48,Employed - full time,Consolidation,0,126,1,13,9,3,0,4,4,44.38,17318,17318,0,0.865899999956705,0.00793650787351978
10000,36,Employed - full time,Other,0,112,6,11,8,3,0,7,3,29.82,15123,15123,0,1.5122999998487698,0.05357142809311225
15500,60,Employed - full time,Consolidation,0,51,6,19,7,1,0,2,12,34.16,100955,21242,0,6.5132258060314046,0.11764705651672439
10200,60,Employed - full time,Car,0,203,1,29,7,3,0,5,22,36.59,3825,3825,0,0.3749999999632353,0.004926108350117693
500,18,Employed - full time,Other,1,95,1,16,11,2,0,5,5,43.81,3645,3645,0,7.28999998542,0.01052631567867036
17000,48,Employed - full time,Consolidation,0,236,10,13,9,1,0,2,4,96.69,166023,6336,0,9.766058822954937,0.042372881176386094
10000,36,Employed - full time,Other,0,150,4,10,8,0,0,2,2,69.8,43867,7003,0,4.38669999956133,0.02666666648888889
10000,60,Employed - full time,Other,0,136,6,9,5,1,1,1,4,70.22,900,900,0,0.089999999991,0.04411764673442907
6500,48,Employed - full time,Vets bills,0,133,2,7,5,1,0,1,2,52.43,1147,1147,0,0.17646153843439052,0.01503759387189779
2000,24,Employed - full time,Home improvements,0,81,1,6,4,2,0,3,2,22.5,7544,7544,0,3.771999998114,0.012345678859929892
700,12,Employed - full time,Other,0,70,1,9,5,3,3,1,4,33.5,1123,1123,7,1.6042857119938776,0.014285714081632657
10000,36,Employed - full time,Other,0,133,3,11,7,3,0,1,4,59.82,7185,7185,0,0.71849999992815,0.022556390807846684
8000,48,Employed - full time,Other,0,129,1,34,15,7,1,5,19,38.5,133150,53589,0,16.64374999791953,0.007751937924403582
1000,12,Employed - full time,Other,0,51,9,22,7,1,4,2,15,32.14,2576,2576,7,2.575999997424,0.1764705847750866
10000,24,Employed - full time,Other,0,167,12,12,8,0,0,0,4,55.25,6990,6990,0,0.6989999999301,0.07185628699487254
10000,24,Employed - full time,Other,0,115,2,14,12,0,0,2,2,45.86,294260,23507,0,29.4259999970574,0.017391304196597356
1400,12,Employed - full time,Other,0,156,2,16,9,2,0,3,7,70.06,6044,6044,0,4.317142854059183,0.012820512738330047
