UID,Amount,Term,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,EmploymentType_Employed - part time,EmploymentType_Retired,EmploymentType_Self employed,DebtRatio,AccountAgeRatio
4921736,2000,60,Other,0,162,17,18,12,0,0,0,6,70.94,68555,15019,0,False,False,False,34.27749998286125,0.10493827095717116
1241981,3000,60,Other,0,266,30,14,10,0,4,0,4,104.79,2209,2209,7,False,False,False,0.736333333087889,0.11278195446322574
5751748,20000,60,Other,0,90,52,4,2,0,1,0,2,68.25,5108,5108,7,False,False,False,0.25539999998723,0.5777777713580248
7163425,20000,60,Other,0,163,19,14,6,1,1,0,8,67.5,25738,25738,0,False,False,True,1.286899999935655,0.11656441646279499
227377,5000,36,car,0,129,2,38,19,4,9,8,19,56.45,5801,5801,7,False,False,False,1.16019999976796,0.015503875848807164
231767,10200,60,Car,0,203,1,29,7,3,0,5,22,36.59,3825,3825,0,False,False,False,0.3749999999632353,0.004926108350117693
232938,10000,60,Other,0,136,6,9,5,1,1,1,4,70.22,900,900,0,False,False,False,0.089999999991,0.04411764673442907
269187,9000,48,Car,0,153,2,19,12,2,0,2,7,55.79,157525,9583,0,False,False,True,17.502777775833025,0.013071895339399377
272337,8000,48,Car,0,76,3,98,12,22,1,21,86,18.27,6266,6266,7,False,False,False,0.7832499999020938,0.03947368369113574
281845,15000,54,New car,0,233,1,25,10,3,0,4,15,74.6,69025,16943,0,False,False,False,4.601666666359889,0.004291845475142294
294786,12000,48,car,0,279,29,7,7,0,0,0,0,84.86,6918,6918,2,False,False,False,0.5764999999519583,0.10394265195719479
299358,5000,36,Other,0,147,2,9,6,0,0,2,3,47.44,3440,3440,0,False,False,True,0.6879999998623999,0.01360544208431672
304292,16000,36,Car,0,339,58,15,6,0,0,0,9,125.27,124451,0,0,False,False,False,7.778187499513863,0.17109144492303408
311277,8000,36,Car,0,169,2,8,8,0,0,5,0,29.88,22256,22256,0,False,False,False,2.7819999996522498,0.01183431945660166
322359,1000,30,Car,0,86,4,87,17,9,4,9,70,20.03,5737,5737,7,False,False,False,5.736999994263,0.04651162736614387
324011,1000,12,Car,0,149,1,17,13,1,0,5,4,36.65,5023,5023,0,False,False,False,5.022999994977,0.006711409350930139
341992,5000,60,Car,0,113,3,5,4,1,0,1,1,56.4,0,0,0,False,False,False,0.0,0.02654867233142768
345888,1000,12,car,0,133,31,15,11,0,12,0,4,66.93,6156,6156,7,False,False,True,6.155999993844,0.23308270501441575
358276,1500,24,Other,0,59,4,16,7,3,0,4,9,27.44,2595,2595,0,False,False,False,1.7299999988466666,0.06779660902039646
359736,10000,60,car,0,34,2,10,8,2,0,3,2,18.1,3036,3036,0,False,False,True,0.30359999996964,0.05882352768166096
385478,10000,60,Car,0,245,4,12,11,1,0,4,1,39.25,155719,3590,1,False,False,False,15.57189999844281,0.016326530545605997
